Fecha,Cuentas que han realizado al menos un pago,Cuentas que han realizado al menos un cobro
08/01/2021,344320,282118
09/01/2021,N/E,N/E
10/01/2021,N/E,N/E
11/01/2021,345407,283077
12/01/2021,347094,284664
13/01/2021,349424,286835
14/01/2021,351757,289177
15/01/2021,357193,294111
16/01/2021,N/E,N/E
17/01/2021,N/E,N/E
18/01/2021,359286,296176
19/01/2021,362645,299787
20/01/2021,366346,304097
21/01/2021,369657,307879
22/01/2021,374627,313251
23/01/2021,N/E,N/E
24/01/2021,N/E,N/E
25/01/2021,377289,316361
26/01/2021,380781,320573
27/01/2021,383787,324200
28/01/2021,387241,328329
29/01/2021,391294,331444
30/01/2021,N/E,N/E
31/01/2021,N/E,N/E
01/02/2021,392048,331973
02/02/2021,393478,333374
03/02/2021,395525,335531
04/02/2021,397798,338180
05/02/2021,401462,341882
06/02/2021,N/E,N/E
07/02/2021,N/E,N/E
08/02/2021,403192,343870
09/02/2021,405080,346026
10/02/2021,407269,348495
11/02/2021,409680,351152
12/02/2021,413451,354764
13/02/2021,N/E,N/E
14/02/2021,N/E,N/E
15/02/2021,415196,356510
16/02/2021,417153,358550
17/02/2021,418964,360460
18/02/2021,420643,362173
19/02/2021,423793,365232
20/02/2021,N/E,N/E
21/02/2021,N/E,N/E
22/02/2021,425325,366834
23/02/2021,427041,368694
24/02/2021,428821,370579
25/02/2021,430731,372587
26/02/2021,434450,375938
27/02/2021,N/E,N/E
28/02/2021,N/E,N/E
01/03/2021,435819,377000
02/03/2021,437382,378471
03/03/2021,438997,380011
04/03/2021,440582,381538
05/03/2021,443649,384311
06/03/2021,N/E,N/E
07/03/2021,N/E,N/E
08/03/2021,444748,385380
09/03/2021,445989,386544
10/03/2021,447352,387795
11/03/2021,448797,389180
12/03/2021,451631,391380
13/03/2021,N/E,N/E
14/03/2021,N/E,N/E
15/03/2021,452305,391942
16/03/2021,453512,393044
17/03/2021,454619,394101
18/03/2021,455737,395099
19/03/2021,458207,397276
20/03/2021,N/E,N/E
21/03/2021,N/E,N/E
22/03/2021,459233,398226
23/03/2021,460258,399259
24/03/2021,461395,400350
25/03/2021,462538,401417
26/03/2021,465085,403686
27/03/2021,N/E,N/E
28/03/2021,N/E,N/E
29/03/2021,466167,404638
30/03/2021,467218,405457
31/03/2021,468676,406661
01/04/2021,469562,407417
02/04/2021,471270,408814
03/04/2021,N/E,N/E
04/04/2021,N/E,N/E
05/04/2021,472185,409531
06/04/2021,473341,410535
07/04/2021,474636,411757
08/04/2021,476061,413028
09/04/2021,478702,415424
10/04/2021,N/E,N/E
11/04/2021,N/E,N/E
12/04/2021,479971,416599
13/04/2021,481476,418189
14/04/2021,483332,420104
15/04/2021,485838,422620
16/04/2021,489927,426607
17/04/2021,N/E,N/E
18/04/2021,N/E,N/E
19/04/2021,491633,428314
20/04/2021,493815,430599
21/04/2021,496080,433021
22/04/2021,498538,435713
23/04/2021,502460,439625
24/04/2021,N/E,N/E
25/04/2021,N/E,N/E
26/04/2021,504479,441726
27/04/2021,507097,444530
28/04/2021,509868,447457
29/04/2021,512596,450369
30/04/2021,516372,453897
01/05/2021,N/E,N/E
02/05/2021,N/E,N/E
03/05/2021,517861,455322
04/05/2021,519338,456695
05/05/2021,520642,457875
06/05/2021,521834,459001
07/05/2021,524259,461115
08/05/2021,N/E,N/E
09/05/2021,N/E,N/E
10/05/2021,525133,461885
11/05/2021,526045,462633
12/05/2021,527011,463444
13/05/2021,528065,464252
14/05/2021,530917,466451
15/05/2021,N/E,N/E
16/05/2021,N/E,N/E
17/05/2021,531970,467271
18/05/2021,532949,468046
19/05/2021,533898,468814
20/05/2021,534871,469657
21/05/2021,537142,471490
22/05/2021,N/E,N/E
23/05/2021,N/E,N/E
24/05/2021,537995,472157
25/05/2021,538906,472836
26/05/2021,539820,473609
27/05/2021,540944,474432
28/05/2021,543659,476535
29/05/2021,N/E,N/E
30/05/2021,N/E,N/E
31/05/2021,544702,477337
01/06/2021,545541,477989
02/06/2021,546375,478563
03/06/2021,547263,479202
04/06/2021,549296,480692
05/06/2021,N/E,N/E
06/06/2021,N/E,N/E
07/06/2021,549947,481218
08/06/2021,550585,481717
09/06/2021,551281,482236
10/06/2021,552100,482813
11/06/2021,554120,484312
12/06/2021,N/E,N/E
13/06/2021,N/E,N/E
14/06/2021,554854,484809
15/06/2021,555703,485410
16/06/2021,556410,485934
17/06/2021,557226,486532
18/06/2021,558047,487113
19/06/2021,558704,487597
20/06/2021,559200,487964
21/06/2021,559895,488481
22/06/2021,560573,488984
23/06/2021,561282,489512
24/06/2021,562033,490097
25/06/2021,562900,490793
26/06/2021,563565,491269
27/06/2021,563975,491585
28/06/2021,564795,492136
29/06/2021,565698,492783
30/06/2021,566732,493528
01/07/2021,567734,494242
02/07/2021,568781,494995
03/07/2021,569595,495589
04/07/2021,570257,496054
05/07/2021,571159,496632
06/07/2021,572016,497212
07/07/2021,572947,497839
08/07/2021,573886,498520
09/07/2021,575002,499233
10/07/2021,575927,499814
11/07/2021,576607,500250
12/07/2021,577492,500858
13/07/2021,578502,501581
14/07/2021,579691,502421
15/07/2021,581022,503299
16/07/2021,582358,504206
17/07/2021,583411,504898
18/07/2021,584174,505376
19/07/2021,585136,506020
20/07/2021,586082,506692
21/07/2021,587099,507348
22/07/2021,587994,507981
23/07/2021,589100,508711
24/07/2021,589974,509241
25/07/2021,590648,509677
26/07/2021,591469,510231
27/07/2021,592431,510947
28/07/2021,593404,511627
29/07/2021,594553,512423
30/07/2021,595815,513234
31/07/2021,596767,513840
01/08/2021,597419,514295
02/08/2021,598260,514862
03/08/2021,599152,515518
04/08/2021,600088,516159
05/08/2021,600961,516826
06/08/2021,601889,517477
07/08/2021,602629,518030
08/08/2021,603561,518693
09/08/2021,604105,519078
10/08/2021,605000,519695
11/08/2021,605886,520329
12/08/2021,606985,521090
13/08/2021,608376,522045
14/08/2021,609454,522797
15/08/2021,610267,523360
16/08/2021,611243,524016
17/08/2021,612244,524683
18/08/2021,613204,525347
19/08/2021,614243,526075
20/08/2021,615374,526887
21/08/2021,616196,527450
22/08/2021,616681,527665
23/08/2021,617643,528300
24/08/2021,618594,528956
25/08/2021,619587,529646
26/08/2021,620522,530338
27/08/2021,621685,531182
28/08/2021,622626,531866
29/08/2021,623445,532430
30/08/2021,624525,533173
31/08/2021,625658,533801
01/09/2021,626862,534556
02/09/2021,628078,535426
03/09/2021,629463,536307
04/09/2021,630634,537052
05/09/2021,631417,537267
06/09/2021,632455,538286
07/09/2021,633423,538914
08/09/2021,634525,539593
09/09/2021,635706,540360
10/09/2021,637005,541198
11/09/2021,638082,541889
12/09/2021,638556,542220
13/09/2021,639723,542931
14/09/2021,640997,543762
15/09/2021,642482,544691
16/09/2021,643466,545332
17/09/2021,644721,546154
18/09/2021,645889,546937
19/09/2021,646797,547571
20/09/2021,647915,548250
21/09/2021,649010,548938
22/09/2021,650193,549641
23/09/2021,651408,550358
24/09/2021,652732,551206
25/09/2021,653839,551874
26/09/2021,654620,552344
27/09/2021,655636,552964
28/09/2021,656748,553591
29/09/2021,657947,554313
30/09/2021,659438,555195
01/10/2021,661012,556028
02/10/2021,662073,556630
03/10/2021,662825,557050
04/10/2021,663773,557561
05/10/2021,664871,558138
06/10/2021,665936,558649
07/10/2021,667063,559247
08/10/2021,668404,560037
09/10/2021,669557,560750
10/10/2021,670316,561258
11/10/2021,671443,561842
12/10/2021,672590,562457
13/10/2021,673841,563144
14/10/2021,675250,564002
15/10/2021,676861,564872
16/10/2021,678183,565701
17/10/2021,679189,566266
18/10/2021,680384,566942
19/10/2021,681554,567579
20/10/2021,682601,568197
21/10/2021,683785,568902
22/10/2021,685143,569703
23/10/2021,686246,570339
24/10/2021,687144,570866
25/10/2021,688215,571523
26/10/2021,689340,572189
27/10/2021,690524,572880
28/10/2021,691862,573685
29/10/2021,693499,574633
30/10/2021,694915,575410
31/10/2021,695949,575975
01/11/2021,697080,576674
02/11/2021,698130,577246
03/11/2021,699417,577911
04/11/2021,700698,578620
05/11/2021,701959,579386
06/11/2021,703011,580016
07/11/2021,703802,580444
08/11/2021,704816,581021
09/11/2021,705904,581699
10/11/2021,707085,582417
11/11/2021,708304,583152
12/11/2021,709710,583915
13/11/2021,711070,584690
14/11/2021,712082,585288
15/11/2021,713067,585830
16/11/2021,714192,586483
17/11/2021,715294,587121
18/11/2021,716464,587824
19/11/2021,717779,588613
20/11/2021,718883,589246
21/11/2021,719691,589719
22/11/2021,720616,590272
23/11/2021,721597,590862
24/11/2021,722709,591528
25/11/2021,723903,592199
26/11/2021,725302,592992
27/11/2021,726407,593599
28/11/2021,727292,594075
29/11/2021,728487,594759
30/11/2021,729912,595554
01/12/2021,731254,596255
02/12/2021,732669,597144
03/12/2021,734203,597987
04/12/2021,736679,598685
05/12/2021,737528,599183
06/12/2021,738754,599858
07/12/2021,739977,600563
08/12/2021,741269,601314
09/12/2021,742628,602101
10/12/2021,744117,602938
11/12/2021,745308,603612
12/12/2021,746173,604176
13/12/2021,747375,604803
14/12/2021,748802,605537
15/12/2021,750360,606428
16/12/2021,751793,607173
17/12/2021,753347,607979
18/12/2021,754641,608734
19/12/2021,755726,609291
20/12/2021,757045,609955
21/12/2021,758426,610650
22/12/2021,759711,611352
23/12/2021,761049,612106
24/12/2021,762236,612680
25/12/2021,762867,613037
26/12/2021,763639,613443
27/12/2021,764738,613933
28/12/2021,765842,614471
29/12/2021,767038,615104
30/12/2021,768446,615782
31/12/2021,769734,616361
01/01/2022,770375,616690
02/01/2022,771238,617093
03/01/2022,772429,617618
04/01/2022,773481,618197
05/01/2022,774727,618836
06/01/2022,775951,619500
07/01/2022,777227,620159
08/01/2022,778205,620627
09/01/2022,778979,620979
10/01/2022,779958,621468
11/01/2022,780899,621959
12/01/2022,781817,622442
13/01/2022,782928,622990
14/01/2022,784127,623597
15/01/2022,785226,624135
16/01/2022,785974,624532
17/01/2022,786938,624966
18/01/2022,787881,625416
19/01/2022,788851,625858
20/01/2022,789881,626391
21/01/2022,791102,627013
22/01/2022,792004,627496
23/01/2022,792770,627845
24/01/2022,793755,628324
25/01/2022,794816,628846
26/01/2022,795857,629332
27/01/2022,796927,629875
28/01/2022,798361,630590
29/01/2022,799389,631120
30/01/2022,800208,631497
31/01/2022,801374,632049
01/02/2022,802446,632593
02/02/2022,803427,633082
03/02/2022,804522,633660
04/02/2022,805786,634366
05/02/2022,806767,634825
06/02/2022,807515,635201
07/02/2022,808314,635591
08/02/2022,809288,636028
09/02/2022,810289,636506
10/02/2022,811373,637090
11/02/2022,813833,638322
12/02/2022,813833,638322
13/02/2022,814747,638781
14/02/2022,815925,639430
15/02/2022,817183,640042
16/02/2022,818474,640669
17/02/2022,819675,641273
18/02/2022,821029,641959
19/02/2022,822075,642485
20/02/2022,822930,642887
21/02/2022,824020,643386
22/02/2022,825041,643880
23/02/2022,826051,644383
24/02/2022,827121,644928
25/02/2022,828373,645605
26/02/2022,829498,646199
27/02/2022,830383,646606
28/02/2022,831548,647117
01/03/2022,832711,647648
02/03/2022,833903,648242
03/03/2022,835026,648882
04/03/2022,836281,649537
05/03/2022,837367,650039
06/03/2022,838084,650436
07/03/2022,839129,650967
08/03/2022,840088,651440
09/03/2022,841054,651958
10/03/2022,842175,652525
11/03/2022,843389,653190
12/03/2022,844420,653737
13/03/2022,845258,654181
14/03/2022,846251,654726
15/03/2022,847491,655347
16/03/2022,848724,655986
17/03/2022,849866,656602
18/03/2022,851129,657278
19/03/2022,852087,657777
20/03/2022,852889,658194
21/03/2022,853722,658608
22/03/2022,854636,659025
23/03/2022,855707,659578
24/03/2022,856767,660123
25/03/2022,858026,660809
26/03/2022,858997,661317
27/03/2022,859755,661717
28/03/2022,860733,662242
29/03/2022,861805,662799
30/03/2022,863207,663467
31/03/2022,864593,664216
01/04/2022,865921,664861
02/04/2022,866977,665439
03/04/2022,867808,665884
04/04/2022,868873,666463
05/04/2022,869907,667019
06/04/2022,870993,667633
07/04/2022,872172,668276
08/04/2022,873524,668967
09/04/2022,874517,669491
10/04/2022,875224,669859
11/04/2022,876251,670347
12/04/2022,877249,670883
13/04/2022,878537,671507
14/04/2022,879739,672059
15/04/2022,880679,672515
16/04/2022,881568,672979
17/04/2022,882383,673359
18/04/2022,883356,673765
19/04/2022,884330,674208
20/04/2022,885370,674738
21/04/2022,886439,675282
22/04/2022,887816,675995
23/04/2022,888822,676498
24/04/2022,889566,676891
25/04/2022,890524,677401
26/04/2022,891575,677918
27/04/2022,892657,678487
