,fecha,cuentas_que_han_realizado_al_menos_un_pago,cuentas_que_han_realizado_al_menos_un_cobro
339,2021-02-12,413451.0,354764.0
340,2021-02-15,415196.0,356510.0
341,2021-02-16,417153.0,358550.0
342,2021-02-17,418964.0,360460.0
343,2021-02-18,420643.0,362173.0
344,2021-02-19,423793.0,365232.0
345,2021-02-22,425325.0,366834.0
346,2021-02-23,427041.0,368694.0
347,2021-02-24,428821.0,370579.0
348,2021-02-25,430731.0,372587.0
349,2021-02-26,434450.0,375938.0
350,2021-03-01,435819.0,377000.0
351,2021-03-02,437382.0,378471.0
352,2021-03-03,438997.0,380011.0
353,2021-03-04,440582.0,381538.0
354,2021-03-05,443649.0,384311.0
355,2021-03-08,444748.0,385380.0
356,2021-03-09,445989.0,386544.0
357,2021-03-10,447352.0,387795.0
358,2021-03-11,448797.0,389180.0
359,2021-03-12,451631.0,391380.0
360,2021-03-15,452305.0,391942.0
361,2021-03-16,453512.0,393044.0
362,2021-03-17,454619.0,394101.0
363,2021-03-18,455737.0,395099.0
364,2021-03-19,458207.0,397276.0
365,2021-03-22,459233.0,398226.0
366,2021-03-23,460258.0,399259.0
367,2021-03-24,461395.0,400350.0
368,2021-03-25,462538.0,401417.0
369,2021-03-26,465085.0,403686.0
370,2021-03-29,466167.0,404638.0
371,2021-03-30,467218.0,405457.0
372,2021-03-31,468676.0,406661.0
373,2021-04-01,469562.0,407417.0
374,2021-04-02,471270.0,408814.0
375,2021-04-05,472185.0,409531.0
376,2021-04-06,473341.0,410535.0
377,2021-04-07,474636.0,411757.0
378,2021-04-08,476061.0,413028.0
379,2021-04-09,478702.0,415424.0
380,2021-04-12,479971.0,416599.0
381,2021-04-13,481476.0,418189.0
382,2021-04-14,483332.0,420104.0
383,2021-04-15,485838.0,422620.0
384,2021-04-16,489927.0,426607.0
385,2021-04-19,491633.0,428314.0
386,2021-04-20,493815.0,430599.0
387,2021-04-21,496080.0,433021.0
388,2021-04-22,498538.0,435713.0
389,2021-04-23,502460.0,439625.0
390,2021-04-26,504479.0,441726.0
391,2021-04-27,507097.0,444530.0
392,2021-04-28,509868.0,447457.0
393,2021-04-29,512596.0,450369.0
394,2021-04-30,516372.0,453897.0
395,2021-05-03,517861.0,455322.0
396,2021-05-04,519338.0,456695.0
397,2021-05-05,520642.0,457875.0
398,2021-05-06,521834.0,459001.0
399,2021-05-07,524259.0,461115.0
400,2021-05-10,525133.0,461885.0
401,2021-05-11,526045.0,462633.0
402,2021-05-12,527011.0,463444.0
403,2021-05-13,528065.0,464252.0
404,2021-05-14,530917.0,466451.0
405,2021-05-17,531970.0,467271.0
406,2021-05-18,532949.0,468046.0
407,2021-05-19,533898.0,468814.0
408,2021-05-20,534871.0,469657.0
