,fecha,total_cuentas_validadas,ABC_capital,banco_actinver,banca_afirme,opciones_empresariales_del_Noreste,banco_autofin_méxico,banco_azteca,banco_del_bajío,banco_nacional_de_méxico,Banco_ahorro_Famsa,bancoppel,banco_bancrea,banco_nacional_del_ejército_fuerza_aérea_y_armada,bankaool,banco_mercantil_del_norte,banco_regional,banco_del_ahorro_nacional_y_servicios_financieros,bansi,banco_base,bbva_bancomer,banco_monex,cibanco,banco_compartamos,consubanco,fundación_dondé_banco,fincomún_servicios_financieros_comunitarios,hsbc_méxico,banco_inbursa,banco_inmobiliario_mexicano,intercam_banco,banco_invex,banca_mifel,banco_multiva,banco_pagatodo,banco_sabadell,banco_santander,scotiabank_inverlat,sistema_de_transferencias_y_pagos_stp,operadora_de_pagos_móviles_de_méxico,banco_ve_por_Mas
63,26/07/2020,8863,0,0,14,0,0,291,4,4556,0,794,0,0,0,308,65,0,0,0,2147,0,0,0,0,0,0,279,17,0,2,0,4,0,2,0,272,105,3,0,0
64,27/07/2020,20659,0,0,57,0,2,401,4,7027,0,1102,0,0,3,378,118,0,0,0,10376,0,0,2,0,0,0,557,44,0,1,0,3,0,31,0,423,126,4,0,0
65,28/07/2020,20361,0,0,12,2,0,383,8,6850,0,1022,0,0,0,467,112,0,0,0,10480,0,2,2,0,0,0,370,35,0,0,0,2,0,28,0,403,180,3,0,0
66,29/07/2020,21958,0,0,10,1,0,383,8,6910,0,1613,0,0,2,205,124,0,0,0,11820,2,5,9,0,0,1,238,53,0,2,0,3,0,20,0,390,155,4,0,0
67,30/07/2020,21351,0,0,41,1,2,342,15,5809,0,1711,0,0,3,383,145,0,0,1,12167,0,0,5,0,0,0,77,58,0,2,0,4,0,31,0,448,100,6,0,0
68,31/07/2020,6217,0,0,31,1,3,378,19,3838,0,1733,0,0,0,182,132,0,0,0,-756,1,0,5,0,0,0,210,30,0,2,0,0,0,25,0,336,43,3,0,1
69,01/08/2020,18816,0,0,35,0,0,321,10,4808,0,1646,0,0,0,207,90,0,0,1,10532,0,0,2,0,0,1,469,45,0,0,0,2,0,9,0,420,214,4,0,0
70,02/08/2020,15071,0,0,21,1,1,302,3,3856,0,1546,0,0,0,151,58,0,0,0,8399,0,0,3,0,0,0,277,36,0,0,0,1,0,-3,0,304,111,4,0,0
71,03/08/2020,15074,0,0,40,0,2,364,8,3994,0,1908,0,0,0,216,90,0,0,0,7507,0,0,5,0,0,0,498,35,0,3,0,2,1,14,0,363,18,6,0,0
72,04/08/2020,22095,0,0,46,1,0,342,10,5168,0,1684,0,0,0,146,102,0,0,0,13673,0,0,9,0,0,0,386,47,0,2,0,2,0,24,0,370,78,5,0,0
73,05/08/2020,23809,0,0,41,1,1,353,7,6215,0,1676,0,0,0,167,108,0,0,0,14111,1,3,8,0,0,0,480,46,0,5,0,1,1,19,0,438,120,6,0,1
74,06/08/2020,22324,0,0,24,1,0,308,18,4845,0,1682,2,0,1,170,105,0,0,0,13993,1,2,6,0,0,0,507,39,0,5,0,3,0,17,0,421,169,5,0,0
75,07/08/2020,17447,0,0,34,1,4,309,15,4632,0,1497,0,0,2,185,119,0,0,0,9585,0,0,9,0,0,1,461,47,0,1,0,4,0,14,0,454,67,5,0,1
76,08/08/2020,17100,0,0,26,0,0,303,10,4568,0,1606,0,0,1,155,93,0,0,1,9429,0,0,6,0,0,0,336,48,0,2,0,1,0,27,0,340,146,2,0,0
77,09/08/2020,13040,0,0,10,0,1,284,10,2933,0,1397,0,0,0,114,76,0,0,1,7572,0,0,5,0,0,0,274,21,0,2,0,2,0,5,0,217,114,2,0,0
78,10/08/2020,20472,0,0,30,2,0,280,14,4368,0,1636,0,0,-2,127,108,0,0,0,12648,0,0,8,0,0,0,772,57,0,2,0,1,0,26,0,332,60,3,0,0
79,11/08/2020,28313,0,0,38,1,2,305,5,4599,0,1684,0,0,1,162,200,0,0,0,20184,0,0,10,0,0,0,492,34,0,1,0,2,0,14,0,348,223,7,0,1
80,12/08/2020,22196,0,0,43,3,0,316,7,4620,0,1514,0,-1,0,145,254,0,0,0,14313,0,-1,3,0,0,0,385,44,0,1,0,0,2,44,8,311,178,5,0,2
81,13/08/2020,19140,0,0,28,1,0,308,9,4254,0,1520,0,-3,3,177,156,0,0,0,11786,0,1,7,0,0,0,395,41,0,1,0,5,0,23,13,338,77,0,0,0
82,14/08/2020,12558,0,1,36,0,0,279,18,2722,0,769,1,13,0,222,117,0,0,1,7653,3,0,3,0,0,0,303,35,0,7,0,1,1,43,7,256,64,3,0,0
83,15/08/2020,18066,0,1,29,0,1,316,6,3687,0,1660,0,20,0,172,131,0,0,0,10982,0,0,7,0,0,0,417,52,0,0,0,0,0,32,4,355,190,4,0,0
84,16/08/2020,13424,0,0,15,0,1,300,0,2846,0,1411,0,15,0,129,82,0,0,0,7916,0,0,4,0,0,0,299,34,0,4,0,2,0,10,0,221,125,10,0,0
85,17/08/2020,19118,0,0,32,0,0,283,2,3427,0,1571,0,10,1,166,146,0,0,0,12614,1,0,2,0,0,1,432,41,0,3,0,2,1,22,3,280,76,2,0,0
86,18/08/2020,21479,0,0,38,1,0,357,1,3577,0,1481,0,15,1,149,117,0,0,1,14622,0,0,5,0,0,0,454,41,0,3,0,3,0,32,4,362,211,4,0,0
87,19/08/2020,21620,0,0,47,0,1,288,2,3622,0,1716,1,20,7,199,110,0,0,0,14561,1,0,5,0,0,0,478,48,0,0,0,2,0,10,4,308,186,3,0,1
88,20/08/2020,31229,0,0,40,1,2,329,4,3981,0,11830,0,22,0,168,111,0,0,0,13633,0,0,8,0,0,0,570,41,0,0,0,1,1,-6,3,295,192,3,0,0
89,21/08/2020,39002,0,0,35,0,0,354,1,2825,0,20357,1,16,0,174,121,0,0,0,14213,0,0,0,0,0,0,454,36,0,1,0,2,1,21,1,370,15,4,0,0
90,22/08/2020,40564,0,0,26,0,0,303,2,2656,0,26813,0,9,0,149,90,0,0,0,9650,0,0,0,0,0,0,394,33,0,2,0,1,0,26,2,245,159,4,0,0
